City,2011
City of Johannesburg,1251084
City of Tshwane,736752
City of Cape Town,1194105
EThekwini Municipality,998760
Ekurhuleni Municipality,960915
Nelson Mandela Bay Municipality,383835
Buffalo City Municipality,235605
Mangaung Municipality,207879
Msunduzi Municipality,178266
