City,2011
City of Johannesburg,20292
City of Tshwane,11799
City of Cape Town,13905
EThekwini Municipality,9051
Ekurhuleni Municipality,9924
Nelson Mandela Bay Municipality,3153
Buffalo City Municipality,1503
Mangaung Municipality,1842
Msunduzi Municipality,1251
