City,2011
City of Johannesburg,1124502
City of Tshwane,715593
City of Cape Town,784065
EThekwini Municipality,895710
Ekurhuleni Municipality,811245
Nelson Mandela Bay Municipality,243933
Buffalo City Municipality,137634
Mangaung Municipality,149832
Msunduzi Municipality,140373
