City,2011
City of Johannesburg,3925437
City of Tshwane,3012969
City of Cape Town,3930234
EThekwini Municipality,3713421
Ekurhuleni Municipality,3342474
Nelson Mandela Bay Municipality,1240686
Buffalo City Municipality,812040
Mangaung Municipality,814350
Msunduzi Municipality,671940
