Province,2011
City of Johannesburg,163188
City of Tshwane,547086
City of Cape Town,820890
EThekwini Municipality,779040
Ekurhuleni Municipality,642513
Nelson Mandela Bay Municipality,273723
Buffalo City Municipality,191988
Mangaung Municipality,199254
Msunduzi Municipality,151908
