City,2011
City of Johannesburg,664245
City of Tshwane,449514
City of Cape Town,647358
EThekwini Municipality,642990
Ekurhuleni Municipality,524187
Nelson Mandela Bay Municipality,219975
Buffalo City Municipality,154701
Mangaung Municipality,164232
Msunduzi Municipality,126138
